id,store_name,food_name,Size,menu_tag,calorie,carbohydrate,protein,fat,salt,P_rate,F_rate,C_rate,P_diff,F_diff,C_diff,PFC_diff
2529,立命館大学生協食堂,きんぴらごぼう,,3,51,1.1,1,9.6,1.1,7.84313725490196,169.411764705882,-77.2549019607843,-5.15686274509804,139.411764705882,-127.254901960784,271.823529411765
2530,立命館大学生協食堂,道産南瓜とさつま芋コロッケ,,3,264,3.5,19.7,17.2,0.8,29.8484848484848,58.6363636363636,11.5151515151515,9.84848484848485,28.6363636363636,-38.4848484848485,76.9696969696969
2531,立命館大学生協食堂,ほうれん草胡麻和え,,3,35,2.1,1.4,4.3,0.5,16,110.571428571429,-26.5714285714286,0,80.5714285714286,-76.5714285714286,157.142857142857
2532,立命館大学生協食堂,ポテトサラダ,,3,98,1,6.1,9.9,0.6,24.8979591836735,90.9183673469388,-15.8163265306122,4.89795918367347,60.9183673469388,-65.8163265306122,131.632653061224
2533,立命館大学生協食堂,海老クリームコロッケ,,3,272,4.4,21.2,15.1,0.5,31.1764705882353,49.9632352941176,18.8602941176471,11.1764705882353,19.9632352941176,-31.1397058823529,62.2794117647059
2534,立命館大学生協食堂,濃厚カニクリームコロッケ,,3,244,3.2,19,14.3,0.8,31.1475409836066,52.7459016393443,16.1065573770492,11.1475409836066,22.7459016393443,-33.8934426229508,67.7868852459017
2535,立命館大学生協食堂,ほうれん草ひじき和え,,3,88,6.8,3.1,8.1,1.2,14.0909090909091,82.8409090909091,3.06818181818183,0,52.8409090909091,-46.9318181818182,99.7727272727273
2536,立命館大学生協食堂,ジャンボポテコロッケ,,3,330,3.8,22.3,27.7,0.6,27.030303030303,75.5454545454545,-2.57575757575758,7.03030303030303,45.5454545454545,-52.5757575757576,105.151515151515
2537,立命館大学生協食堂,おでん・ごぼ天,,3,92,4.8,3.9,9.2,1.9,16.9565217391304,90,-6.95652173913044,0,60,-56.9565217391304,116.95652173913
2538,立命館大学生協食堂,南瓜煮,,3,76,1.8,0.2,17.3,1.3,1.05263157894737,204.868421052632,-105.921052631579,-11.9473684210526,174.868421052632,-155.921052631579,342.736842105263
2539,立命館大学生協食堂,大根葉とひじきのビッ栗和え,,3,57,2,1.9,8.6,0.5,13.3333333333333,135.789473684211,-49.1228070175438,0,105.789473684211,-99.1228070175438,204.912280701754
2540,立命館大学生協食堂,れんこん天ぷら,,3,265,2.9,15.2,29.3,0.1,22.9433962264151,99.5094339622642,-22.4528301886792,2.94339622641509,69.5094339622642,-72.4528301886792,144.905660377358
2541,立命館大学生協食堂,茄子玉ねぎゴマ和え,,3,109,0.9,9.4,5.4,0.4,34.4954128440367,44.5871559633027,20.9174311926605,14.4954128440367,14.5871559633027,-29.0825688073395,58.1651376146789
2542,立命館大学生協食堂,昆布豆,,3,62,2.9,1.7,11.2,0.7,10.9677419354839,162.58064516129,-73.5483870967742,-2.03225806451613,132.58064516129,-123.548387096774,258.161290322581
2543,立命館大学生協食堂,水菜からし和え,,3,37,2,1.6,3.7,0.7,17.2972972972973,90,-7.29729729729731,0,60,-57.2972972972973,117.297297297297
2544,立命館大学生協食堂,小松菜と揚げ生姜風味,,3,32,2,1.1,3.5,0.9,13.75,98.4375,-12.1875,0,68.4375,-62.1875,130.625
2545,立命館大学生協食堂,ちくわの磯部揚げ,,3,142,3.8,9,10.4,0.7,25.3521126760563,65.9154929577465,8.73239436619718,5.35211267605634,35.9154929577465,-41.2676056338028,82.5352112676056
2546,立命館大学生協食堂,千切り煮,,3,28,1.3,0.8,4,0.6,11.4285714285714,128.571428571429,-40,-1.57142857142857,98.5714285714286,-90,190.142857142857
2547,立命館大学生協食堂,冷奴,,3,55,4.7,2.9,2.3,0,21.0909090909091,37.6363636363636,41.2727272727273,1.09090909090909,7.63636363636363,-8.72727272727273,17.4545454545454
2548,立命館大学生協食堂,アジフライ,,3,174,6.2,12,9.6,0.5,27.5862068965517,49.6551724137931,22.7586206896552,7.58620689655172,19.6551724137931,-27.2413793103448,54.4827586206896
2549,立命館大学生協食堂,じゃこ大根おろし,,3,14,1.2,0.1,2.1,0.1,2.85714285714286,135,-37.8571428571429,-10.1428571428571,105,-87.8571428571429,203
2550,立命館大学生協食堂,ナムルサラダ,,3,32,1.4,1.5,3.5,1.3,18.75,98.4375,-17.1875,0,68.4375,-67.1875,135.625
2551,立命館大学生協食堂,玉子のすまし汁,,3,77,5.7,3.8,4.5,1.9,19.7402597402597,52.5974025974026,27.6623376623377,0,22.5974025974026,-22.3376623376623,44.9350649350649
2552,立命館大学生協食堂,おでん・玉子,,3,65,6,3.8,1.8,1.2,23.3846153846154,24.9230769230769,51.6923076923077,3.38461538461538,0,0,3.38461538461538
2553,立命館大学生協食堂,菜の花の塩ナムル,,3,36,2.3,1.4,4.8,0.5,15.5555555555556,120,-35.5555555555556,0,90,-85.5555555555556,175.555555555556
2554,立命館大学生協食堂,ゆずおろし肉団子,,3,100,4.4,4.8,9,0.4,19.2,81,-0.200000000000003,0,51,-50.2,101.2
